title,company,count,ids
Sales Associate  ,Rogers Communications,6,"4326815872,4325666725,4330570498,4330600411,4330387591,4330509556"
Senior AI Engineer (LATAM),micro1,6,"4349333381,4354375250,4358372017,4358167544,4358585025,4359934169"
Thai Creative UI and Marketing Linguist (US&Canada based)  ,Welocalize,6,"4330124323,4330543396,4330621067,4330767941,4345330024,4354823428"
Condominium Manager,FirstService Residential Canada,5,"4330473599,4330403657,4358235250,4358400895,4358353299"
Freelance Economics Expert - AI Trainer,Mindrift,5,"4331994666,4359962586,4360602437,4360680433,4359972635"
Hiring for 2026! Entry-Level English Teacher (ESL) | No Experience Needed,English 1,5,"4354382334,4354372845,4349369344,4354603438,4358961413"
Human Data Manager (Business),micro1,5,"4346887997,4354554549,4358253640,4358577377,4359606960"
Human Data Manager (STEM),micro1,5,"4346859872,4354337525,4358114539,4359374554,4359666795"
Investment Banking Financial Modeling Expert,micro1,5,"4349348404,4354315565,4354347435,4358362025,4358783804"
Junior Project Manager,Helic & Co.,5,"4354623075,4358136041,4359401487,4359716289,4360754670"
Mid-level Data Science Associate Consultant(LATAM),micro1,5,"4346887032,4354523750,4354539618,4354686262,4358128268"
Native English Language Expert,micro1,5,"4358272755,4359474602,4359614580,4359992568,4359774419"
Private Equity Financial Modeling Expert,micro1,5,"4349318940,4354521667,4354356975,4358125029,4358923739"
Senior AI Engineer (Canada),micro1,5,"4349303832,4358102265,4354686272,4358384912,4358585081"
Senior Data Science Associate Consultant,micro1,5,"4349381078,4358151045,4358332674,4358257518,4361191420"
Senior Staff Engineer (Machine Learning) - 45391  ,Turing,5,"4361135175,4361185127,4361270572,4361175174,4361235186"
Work From Home Customer Service Sales Advisor,MissionHires,5,"4329878355,4330044983,4330588754,4330508726,4345341750"
AI Agent Evaluation Analyst (Freelance),Mindrift,4,"4358376408,4358366689,4358480412,4358307479"
Airbnb Online Assistant,Wns Global Service PrivateLimited,4,"4351222552,4351272373,4351132477,4351282920"
"Application Support Engineer, Trilogy (Remote) - $60,000/year USD  ",Crossover,4,"4329667449,4329587679,4330417707,4330517789"
Beauty Specialist  ,Shoppers Drug Mart,4,"4358121749,4354680626,4354588686,4361207976"
"Co-op or Intern, Technology - BizApps (May 2026)  ",BDO Canada,4,"4354651776,4354678161,4354637898,4361128062"
Commis de Front Office - Temps Partiel,Metro Inc.,4,"4354591102,4354549514,4359763617,4360788291"
Data Architect  ,Quantum World Technologies Inc.,4,"4358974294,4358984241,4358545970,4361163662"
Design Director  ,MoonPay,4,"4346938318,4349386779,4349389104,4354608798"
Electrical Engineer with Python Experience - Freelance AI Trainer,Mindrift,4,"4358973430,4358773382,4358575780,4358913320"
Environmental Engineering - AI Data Trainer,Alignerr,4,"4349393788,4354340051,4354578326,4358140230"
Evaluation Scenario Writer - AI Agent Testing Specialist,Mindrift,4,"4358242443,4354684257,4358301070,4358310936"
Expert Recruiter - Health,micro1,4,"4346907545,4354505290,4358263523,4358974907"
Expert Recruiter - Legal,micro1,4,"4346995181,4354505293,4358243706,4358547202"
Finance Analyst (Remote),Taskify AI,4,"4354381666,4358182999,4354684935,4359653857"
Finance Expert (Remote),Taskify AI,4,"4349368691,4354501170,4358253032,4359663645"
Financial Modeling Expert (Individual Contributor) - AI Tutor,micro1,4,"4349364064,4354394629,4354394626,4359914299"
Freelance AI Trainer - Civil Engineering & Python,Mindrift,4,"4358594304,4359311873,4359351757,4358427974"
Freelance Economist - AI Trainer,Mindrift,4,"4360661360,4360641495,4359765763,4360602857"
Freelance Financial Analyst - AI Trainer,Mindrift,4,"4360690979,4359797080,4360606791,4360616781"
Freelance Machine Learning AI Trainer (Python),Mindrift,4,"4358298116,4358139508,4358347435,4358480869"
Freelance Mechanical Engineer - AI Trainer,Mindrift,4,"4358590284,4358338583,4358318751,4358433152"
Freelance Tax Accountant - AI Trainer,Mindrift,4,"4360626666,4359797155,4359957123,4360684734"
French+English Bilingual Customer Service Representative,TalentPop App,4,"4330439825,4330611117,4330409896,4330419795"
Full Stack Engineer,micro1,4,"4349314745,4354366994,4354675893,4358974960"
GTM & Capacity Planning Manager  ,Clio,4,"4344935497,4345042988,4344995002,4344875930"
Human Data Manager (Finance),micro1,4,"4349314774,4354583808,4358351755,4359383003"
Korean Language Lead  ,Welocalize,4,"4330006796,4330121918,4330164029,4330503392"
Mathematician - Freelance AI Trainer,Mindrift,4,"4354633349,4354585453,4354358551,4354526526"
Mechanical Engineer with Python Experience - Freelance AI Trainer,Mindrift,4,"4358603925,4358573812,4358485365,4358419115"
Policy Analyst,Helic & Co.,4,"4358265732,4358734943,4359745953,4361214602"
Retail Warehouse & Production Associate,Savers | Value Village,4,"4329829515,4330016842,4330171661,4330082118"
Runtime Engineer,Lemurian Labs,4,"4359961110,4360653498,4360758803,4361644167"
Sales Associate  ,Staples Canada,4,"4332961446,4333021451,4358115986,4339864369"
Superviseur d'entrepôt,Metro Inc.,4,"4354334837,4358384854,4360643427,4361238375"
Account Manager - Canada - Sustainability / SaaS,Mayflower Recruitment Ltd,3,"4351570543,4352071532,4352351617"
Agent(e) des ventes internes  ,Allstate Canada,3,"4330470923,4330593033,4330466652"
Airbnb Online Assistant,HR Elevate,3,"4351186112,4351235978,4351186233"
Airbnb Online Assistant,YPF Digital,3,"4330083633,4354502003,4351232550"
Assistant Chef Manager  ,Farm Boy Inc.,3,"4349323715,4354644391,4358255624"
Associate Project Manager - Data Center,Intersect,3,"4354314026,4354610379,4354606270"
Business Analyst,Best Job Tool,3,"4360660996,4359946863,4361204788"
Clerk,No Frills,3,"4359776579,4359964656,4359964652"
Commercial Lines Account Executive,Jhubz by JobsMedia,3,"4346953923,4358126575,4359415117"
Cook  ,Aramark Canada,3,"4346989170,4358353250,4361569620"
Creative Writer – Literature & Humanities (Remote),Taskify AI,3,"4354382252,4354333909,4354511172"
Customer Service Sales Remote - Canada,MissionHires,3,"4329828623,4330528886,4351821937"
Dutch Language Expert – AI Trainer,micro1,3,"4358911181,4358964655,4360622872"
Expert Recruiter - Finance,micro1,3,"4358292410,4358984798,4359427559"
Finance Administrator (Remote),Taskify AI,3,"4354352669,4354629110,4359493963"
Finance Associate (Remote),Taskify AI,3,"4349339592,4358301744,4359443705"
Finance Domain Expert – LLM Training (Remote),Taskify AI,3,"4354333322,4358113950,4359406476"
Financial Services Professional (Remote),Taskify AI,3,"4354520653,4358182998,4359387828"
Freelance AI Evaluation Scenario Writer,Mindrift,3,"4358320717,4358271939,4354628376"
Freelance Graphic Designer  ,Twine,3,"4351254219,4352253033,4350185944"
Frontend Developer,Best Job Tool,3,"4359783225,4359796922,4360734802"
Head of User Acquisition  ,Mistplay,3,"4359915273,4360778689,4361616215"
Home Support Supervisor,Spectrum Health Care (SHC),3,"4354301862,4349383987,4349383986"
Java Developer,Best Job Tool,3,"4359354507,4359982700,4360794873"
Junior Executive Assistant,Helic & Co.,3,"4354632719,4358304564,4359354350"
"Medical Laboratory Technologist, Pathology  ",University Health Network,3,"4359383617,4358995285,4358755599"
Oncology Clinical Researcher,Alignerr,3,"4359901660,4359739514,4359791591"
Online Data Analyst | Freelance Estonian Speakers  ,TELUS Digital,3,"4359638221,4359752399,4359608309"
Part-Time Sales Associate,Match Retail,3,"4330421300,4330401367,4351520136"
Personal Lines Insurance Account Manager,Jhubz by JobsMedia,3,"4354658833,4359711622,4359673201"
Produce Department Manager  ,Farm Boy Inc.,3,"4354661586,4358114778,4358106498"
Project Manager - Data Center,Intersect,3,"4354510027,4354316291,4354652043"
Quality Engineering Manager – Credit & Market Risk,PYXIDIA TECHLAB,3,"4345361719,4352337092,4352356990"
Real Estate Finance - AI trainer,micro1,3,"4359714305,4360662494,4361197765"
Registered Nurse - 3MBW CCC (CEN)  ,Scarborough Health Network,3,"4354508694,4354681338,4354635068"
Registered Nurse - CICU  ,University Health Network,3,"4358943650,4358995282,4358933610"
"Registered Nurse, Emergency  ",St. Michael's Hospital,3,"4330547654,4330537670,4330507623"
Registered Nurse  ,University Health Network,3,"4328902601,4359648809,4358724025"
Remote Mathematics Researcher (PhD)  ,Turing,3,"4354506662,4359464818,4361598922"
Remote Mathematics Specialist (PhD)  ,Turing,3,"4354536119,4359674688,4361559947"
Remote Physics Researcher (PhD)  ,Turing,3,"4354516149,4359644862,4361671194"
Remote Physics Specialist (PhD)  ,Turing,3,"4354536176,4359484673,4362340196"
Senior Automation Test Engineer,micro1,3,"4346936209,4354328068,4358331896"
Senior React Developer  ,Lumenalta,3,"4354366069,4354504347,4354553532"
Talent Acquisition Specialist,Flowmingo AI,3,"4330094279,4330621031,4331572025"
Transcriptionist - AI trainer,micro1,3,"4358204918,4358443896,4359757112"
"Vice President of Product Engineering, 2 Hour Learning (Remote) - $400,000/year USD  ",Crossover,3,"4329617794,4330577639,4330587681"
Vietnamese Language Expert,micro1,3,"4358533917,4358577223,4359913325"
Work From Home Sales Coordinator,MissionHires,3,"4329918112,4330111554,4332571835"
2026 Graduate Development Program - Cost Management (Toronto)  ,Turner & Townsend,2,"4330471188,4330547810"
"AI Compliance Manager, IgniteTech (Remote) - $100,000/year USD  ",Crossover,2,"4329568353,4330427700"
AI Developer I – 4 Month Internship/Co-op (Summer 2026)  ,Intact,2,"4330935358,4330935357"
Academic Content Specialist (Remote),Taskify AI,2,"4354363381,4354540880"
Account Executive,Assemble,2,"4330168173,4330551376"
Account Executive - Matador AI  ,AutoTrader.ca,2,"4358292630,4331900958"
"Account Executive, Deel IT, SMB | NAM  ",Deel,2,"4303133081,4313426978"
Account Executive  ,TELUS Digital,2,"4352239936,4352393960"
Account Manager,DULCEDO Management,2,"4358576523,4359965000"
Account Manager  ,Collabera,2,"4331082377,4331996745"
Accountant (Remote),Taskify AI,2,"4354560094,4358113952"
Accounting Manager (Remote),Taskify AI,2,"4354381663,4358243101"
Actuarial Analyst - 4 Month Co-op/Internship (Summer/Fall 2026)  ,Intact,2,"4330532073,4330522130"
"Administrative Assistant II, General  ",University Health Network,2,"4328895668,4359761386"
Administrative Assistant  ,Canadian Tire Corporation,2,"4358333532,4360600437"
Administrative Assistant  ,Raise,2,"4330137969,4330486555"
Airbnb Online Assistant,Grupo Akrus,2,"4330056384,4330073750"
Airbnb Online Assistant,HR Learners Hub,2,"4358204286,4330596781"
Applied Physics - AI Data Trainer,Alignerr,2,"4346948148,4354302090"
Applied Physics Specialist - AI Content Evaluator,Alignerr,2,"4358180186,4354587888"
"Artificial Intelligence Engineer, IgniteTech (Remote) - $100,000/year USD  ",Crossover,2,"4330517799,4355050141"
"Artificial Intelligence Engineer, LearnWith.AI (Remote) - $200,000/year USD  ",Crossover,2,"4329755296,4330377592"
Assistant Condominium Manager,FirstService Residential Canada,2,"4358165246,4358400893"
Associate Business Solutions Consultant (Summer 2026),AltaML,2,"4354568056,4354627349"
Associate Machine Learning Developer (Summer 2026),AltaML,2,"4354672224,4358310071"
Associate Technical Account Manager  ,Yardi,2,"4359642613,4358355887"
Back of House - Line Cook  ,Moxies,2,"4358574543,4358922164"
Bilingual AI Trainer - All Languages,micro1,2,"4358372546,4360680905"
Biochemist - AI Data Trainer,Alignerr,2,"4349374684,4354320797"
Biochemistry Subject Matter Expert - AI Content Specialist,Alignerr,2,"4354662887,4358240194"
Biology Masters - AI Data Trainer,Alignerr,2,"4346929020,4349346352"
Biology Subject Matter Expert - AI Content Specialist,Alignerr,2,"4358180191,4354672452"
Biotech Health Data Governance Lead,Alignerr,2,"4359931544,4360601275"
Blockchain & Web3 Engineer - AI trainer,micro1,2,"4354318784,4359974108"
Business Administration (MBA) - AI Content Specialist,Alignerr,2,"4358230202,4354399681"
Business Administration (MBA) - AI Data Trainer,Alignerr,2,"4354330206,4349336535"
Business Development Manager,The Leadership Agency,2,"4330198286,4351125521"
"Business Development Manager, Ontario",CI Financial,2,"4358391987,4351730911"
CBSA Tactical Guard-Full Time  ,GardaWorld,2,"4359686893,4359668213"
"COMMERCIAL ACCOUNT MANAGER, SMALL BUSINESS - Scarborough/North York  ",BDC,2,"4330791447,4330751421"
Change Management - AI trainer,micro1,2,"4354385589,4359904502"
Character Artist - Modeling & Texturing [6-month contract]  ,Ubisoft Toronto,2,"4347586319,4352322665"
Charles River (CRIMS) Developer,Global Applications Solution,2,"4358322196,4358233878"
Chef de mêlée II  ,TD,2,"4345520420,4345475044"
Chemistry Masters - AI Data Trainer,Alignerr,2,"4349346350,4349307137"
Chemistry Subject Matter Expert - AI Content Specialist,Alignerr,2,"4354538757,4354653252"
Clinical Business Intelligence Manager,Alignerr,2,"4359791590,4359764140"
Clinical Study Manager,Alignerr,2,"4360611296,4360601266"
Clinical Systems Analyst,Alignerr,2,"4360611294,4359719866"
"Co-Op Student, Finance  ",Aecon Group Inc.,2,"4326602487,4325465927"
"Co-op or Intern, Cloud Analyst (May 2026)  ",BDO Canada,2,"4354547051,4358172311"
"Co-op or Intern, DevOps Engineer (May 2026)  ",BDO Canada,2,"4354576802,4358202253"
Commercial Lines Account Manager,Jhubz by JobsMedia,2,"4358195872,4359415118"
"Commercial/Enterprise Account Executive, Employee Service  ",Salesforce,2,"4343290527,4343259007"
Computer Engineering - AI Data Trainer,Alignerr,2,"4349307142,4346929016"
Computer Engineering Expert - AI Content Specialist,Alignerr,2,"4354626110,4354558590"
Concierge Security Guard  ,GardaWorld,2,"4354606322,4359726518"
Condominium Manager - High Rise,FirstService Residential Canada,2,"4354668054,4354687158"
Content Evaluator (Remote),Taskify AI,2,"4354531076,4349359905"
Creative Content Strategist (Remote),Taskify AI,2,"4349397413,4354324468"
Creative Writing Specialist (Remote),Taskify AI,2,"4354353271,4354343701"
Data Analyst (0 Experience Required),Peroptyx,2,"4354525460,4354338153"
Data Engineer,Best Job Tool,2,"4360602489,4360665114"
Data Science Expert - AI Content Specialist,Alignerr,2,"4358120973,4354587887"
Data Scientist (Masters) - AI Data Trainer,Alignerr,2,"4349326905,4346997237"
Design Intern,Umbra,2,"4361234894,4360765686"
Devops Engineer - AI trainer,micro1,2,"4354337505,4359775999"
Digital Health Strategist,Alignerr,2,"4360611301,4359901658"
Director of Accounting - Hospitality,Howard,2,"4354361221,4354696214"
"Director of Educational Strategy, 2 Hour Learning (Remote) - $400,000/year USD  ",Crossover,2,"4329617783,4330377620"
Dispatcher - Logistics & Delivery Operations,micro1,2,"4359913271,4361214495"
EMR/EHR Implementation Specialist,Alignerr,2,"4359961368,4359941497"
Electrical Engineering - AI Data Trainer,Alignerr,2,"4346929015,4349374678"
Electrical Engineering Expert - AI Content Specialist,Alignerr,2,"4358230195,4354672437"
Electrical Engineer  ,AtkinsRéalis,2,"4361662230,4361319480"
Energy & Renewables Finance - AI trainer,micro1,2,"4354308354,4359904497"
English Linguistics Specialist - AI trainer,micro1,2,"4358195115,4359943228"
Enterprise Account Executive - REMOTE,Jobgether,2,"4346885847,4358278011"
Entry-Level Event Partner,One Direction,2,"4358294614,4362400028"
Executive Assistant & Special Projects Manager,Novatae Risk Group,2,"4351285366,4354398071"
Executive Director,ACCT Foundation,2,"4329849194,4354773858"
Field Applications Engineer,Pulsenics Inc.,2,"4349388982,4358101478"
Finance Executive (Remote),Taskify AI,2,"4358262929,4359387860"
Finance Expert – AI Trainer (MSc. or PhD),micro1,2,"4354385891,4359994099"
Finance Specialist (Remote),Taskify AI,2,"4358253031,4359483864"
Financial Sponsors - AI trainer,micro1,2,"4354640171,4360632698"
French Bilingual Customer Service Specialist,TalentPop App,2,"4330559616,4330449674"
"Full Stack Engineer, LearnWith.AI (Remote) - $200,000/year USD  ",Crossover,2,"4329627712,4330497625"
Fullstack Developer (Data Visualization),micro1,2,"4354390849,4359774058"
German Language Specialist - Freelance AI Trainer Project,"Meridial Marketplace, by Invisible",2,"4314693576,4314687696"
Golang Developer,micro1,2,"4358137888,4359775010"
Google Cloud Engineer I - 4 Month Co-op/Internship (Summer 2026)  ,Intact,2,"4330448894,4330378747"
Growth Equity & Venture Financial Modeling Expert - AI Tutor,micro1,2,"4346889108,4349315904"
Head of Marketing  ,Tulip,2,"4329888362,4330015066"
Health Informatics Analyst,Alignerr,2,"4359911624,4359951454"
Health Policy & Management - AI Content Specialist,Alignerr,2,"4358160207,4358120971"
Health Policy & Management - AI Data Trainer,Alignerr,2,"4354340053,4346948147"
High Rise Condominium Manager,FirstService Residential Canada,2,"4330493477,4358333505"
Hospital Health Data Governance Lead,Alignerr,2,"4359911628,4360611304"
Human Data Manager (Finance Specialist),micro1,2,"4354312014,4359782762"
Human Resource Coordinator,Codivio Agency HR,2,"4351352020,4351352235"
Human Resource Coordinator,The Local Edge,2,"4352595408,4352565498"
Human Resource Coordinator,Virtual Assistant Resources,2,"4351295782,4351362121"
Human Resources Administrative Assistant,IG Tech,2,"4351236069,4351481575"
Human Resources Administrative Assistant,The Bridge,2,"4351401715,4351471648"
IBM Payments Centre Machine Learning Developer Intern (May 2026 - 8 months - Toronto)  ,IBM,2,"4351680054,4351660068"
IT Intern – 16 Month Internship/Co-op (Summer 2026)  ,Intact,2,"4330467749,4330467748"
Inside Sales Representative  ,Apex Systems,2,"4330576509,4330546344"
"Instructional Designer, 2 Hour Learning (Remote) - $100,000/year USD  ",Crossover,2,"4329707164,4329667451"
Intermediate Mechanical Engineer - Power Generation  ,WSP in Canada,2,"4312777133,4321219575"
"Intern, Data Analytics Engineering - Summer 2026  ",Capital One,2,"4358954291,4361195657"
"Intern, Data Scientist - Summer 2026  ",Capital One,2,"4346827835,4359344187"
"Intern, Full Stack Software Engineer - Summer 2026  ",Capital One,2,"4359324225,4358596647"
"Intern, Operational Technology - Indigenous- EN  ",CN,2,"4339445092,4339475053"
Investment Banking Analyst Expert,micro1,2,"4346994504,4354525020"
Investment Banking Specialist,micro1,2,"4358191403,4359343716"
Japanese Language Expert,micro1,2,"4358764471,4360651521"
Junior Sales Associate  ,Colliers,2,"4028894097,3889765298"
Korean Creative UI and Marketing Linguist  ,Welocalize,2,"4330154060,4330820351"
Korean Native Speaker - AI Trainer,micro1,2,"4354624834,4358994243"
Lab Technician Laboratory - I.V. Team  ,"St. Joseph's Health Centre, Toronto",2,"4330492922,4329681290"
Language Specialist,DataAnnotation,2,"4344893283,4345002405"
Linguistics Expert AI Tutor,micro1,2,"4346987367,4358125786"
Mechanical Engineering - AI Data Trainer,Alignerr,2,"4349346349,4346958192"
Mechanical Engineering Expert - AI Content Specialist,Alignerr,2,"4354587897,4354672440"
Medical Science Liaison (MSL),Alignerr,2,"4360621182,4359921532"
Merchandiser  ,Shoppers Drug Mart,2,"4354600178,4361265360"
Mortgage Renewal Specialist  ,Fairstone Bank,2,"4331936682,4331506710"
Native English Speaker,micro1,2,"4349388076,4358100081"
Node.js Developer - AI Trainer,micro1,2,"4358430714,4359923284"
Nuclear Power Reactor Operators,micro1,2,"4360631634,4360724536"
Nurse Practitioner - Virtual Care  ,Phoenix,2,"4323751595,4312193420"
Nursing Informatics Specialist,Alignerr,2,"4359991400,4359961367"
Occupational Therapist A3 Rehab Stroke  ,Providence Healthcare,2,"4331936513,4331556401"
Online Data Analyst Bengali (CA)  ,TELUS Digital,2,"4359735776,4359477838"
Online Data Analyst | Part-time Latvian Speakers  ,TELUS Digital,2,"4359478550,4359618453"
Personal Banking Officer,Alterna Savings,2,"4354320298,4346889752"
Personal Injury Pre-Litigation Associate (Case Manager)  ,EvenUp,2,"4354812987,4354773294"
Personal Shopper Part Time Day  ,Loblaw Companies Limited,2,"4354546505,4361179390"
Personal Support Worker - Permanent Part Time Evening (3 PM - 11 PM),Sienna Senior Living,2,"4332530145,4332540146"
Personal Support Worker  ,University Health Network,2,"4358993468,4358995283"
PhD Intern - AI Researcher for CAD (B-Rep) Generation  ,Autodesk,2,"4324343731,4324463472"
Pharmacist  ,Shoppers Drug Mart,2,"4358121750,4358111792"
Phonetics Expert (English),micro1,2,"4354320716,4358135151"
Physics Masters - AI Data Trainer,Alignerr,2,"4349393789,4349326904"
Physics Subject Matter Expert - AI Content Specialist,Alignerr,2,"4358230201,4358120972"
Physiotherapist  ,University Health Network,2,"4354606759,4358464017"
Population Health Informaticist,Alignerr,2,"4359755444,4359961361"
Portfolio Condominium Manager,FirstService Residential Canada,2,"4354677510,4358362971"
Postdoctoral Researcher  ,University Health Network,2,"4328693427,4360798629"
Precision Medicine Data Lead,Alignerr,2,"4359699855,4360621180"
Principal Clinical Scientist,Alignerr,2,"4360630012,4360630003"
"Principal, Design & Manufacturing GTM Strategy  ",Autodesk,2,"4324656251,4324836016"
Private Client Account Manager – Personal Lines Insurance,Jhubz by JobsMedia,2,"4358285091,4359643450"
Product Content Designer – AI & UX  ,Applicantz,2,"4358390238,4359410091"
Product Designer,Ownright,2,"4330570492,4358753925"
Project Finance - AI trainer,micro1,2,"4354394631,4359994092"
Project Manager,Veolia,2,"4358304530,4359678726"
Project Manager  ,Dexian,2,"4330361783,4354811260"
Project Manager  ,Veolia | North America,2,"4358266309,4331556654"
Psychologist - Boomerang Health  ,The Hospital for Sick Children,2,"4182854275,4130595374"
Python Developer,Best Job Tool,2,"4361194758,4360774768"
Python Developer,micro1,2,"4358413014,4359757120"
React Developer - Mid Level  ,Lumenalta,2,"4354364469,4354373830"
React Developer - Tech Lead  ,Lumenalta,2,"4354502862,4354532182"
Registered Nurse (Psychiatric Emergency Zone),Michael Garron Hospital,2,"4354598347,4358180752"
Registered Nurse - Nursing Resource Unit,CAMH,2,"4351410771,4351351035"
"Registered Nurse, Family Birthing Centre  ","St. Joseph's Health Centre, Toronto",2,"4330023365,4330507625"
Registered Practical Nurse - Nursing Resource Unit,CAMH,2,"4351550500,4351351037"
Registered Practical Nurse - Spinal Cord Rehab Program  ,University Health Network,2,"4358933613,4358369534"
"Registered Practical Nurse, Family Birthing Centre  ",St. Michael's Hospital,2,"4330387695,4330724539"
"Registered Practical Nurse, Inpatient Mental Health",Humber River Health,2,"4330560879,4330380915"
Remote Business Analyst  ,Turing,2,"4360782407,4361212484"
Remote Chemistry Expert (PhD)  ,Turing,2,"4354556056,4359425097"
Remote Chemistry Specialist (PhD)  ,Turing,2,"4354605071,4359464466"
Remote Sales Representative,MissionHires,2,"4329987009,4351841809"
Remote and Hybrid Independent Contractor Technology Lawyers (Canada),"MT>Align, a division of McCarthy Tétrault LLP",2,"4358265691,4358275441"
Russian Language Expert,micro1,2,"4358734773,4360671199"
Rust Developer,micro1,2,"4358267548,4360661436"
SAS Modernization SME  ,Quantum World Technologies Inc.,2,"4354337717,4354337575"
Sales And Marketing Specialist,Global Abundance Team,2,"4354511933,4354598135"
Sales Associate,WIRELESSWAVE / WAVE SANS FIL,2,"4330042470,4330016565"
Sales Associate,tbooth wireless / la cabine t sans fil,2,"4329908916,4329849006"
Sales Associate-Print&Services  ,Staples Canada,2,"4358323414,4359371413"
Sales Associate  ,Andrew Peller Limited,2,"4361198537,4360778565"
Sales Manager - REMOTE,Jobgether,2,"4360621761,4360644143"
Sales Representative,Martell Media,2,"4354680998,4359334087"
Sales Representative - Facility Services,Cintas Canada,2,"4344982111,4345472643"
Salesforce Developer,Best Job Tool,2,"4359942776,4360774767"
Security Analyst I – 4 Month Internship/Co-op (Summer 2026)  ,Intact,2,"4330507081,4330407272"
Security Guard - Full Time - Hennick Bridgepoint Hospital - Downtown Toronto,Paladin Security Group Ltd,2,"4352180395,4352161405"
Security Guard - Full Time - Seneca Polytechnic (Newnham),Paladin Security Group Ltd,2,"4351472054,4351580166"
Security Guard - Full-Time Days- Government of Ontario Office,Paladin Security Group Ltd,2,"4351392286,4351392283"
Security Guard - Part Time Days - Government of Ontario Office,Paladin Security Group Ltd,2,"4351551867,4351532082"
Security Guard - Part-Time Afternoons - Government of Ontario Office,Paladin Security Group Ltd,2,"4351382240,4351382239"
Security Guard Full Time University Health Network West Park Healthcare,Paladin Security Group Ltd,2,"4351322323,4351162647"
"Security Guard, Industrial  ",GardaWorld,2,"4358215599,4361528080"
Security Team Lead - Full Time - UHN West Park Healthcare,Paladin Security Group Ltd,2,"4351551868,4351452156"
Senior Account Manager - Enterprise  ,Docebo,2,"4344815066,4344904468"
Senior Account Manager  ,Monks,2,"4354675553,4359311358"
Senior Building Mechanical Engineer  ,Jacobs,2,"4306232151,4361273537"
Senior Commercial Lines Account Manager,Jhubz by JobsMedia,2,"4354687717,4359613353"
Senior GenAI/AI Solutions Architect,myGwork - LGBTQ+ Business Community,2,"4352700684,4352550704"
Senior Mechanical Engineer - Power Generation  ,WSP in Canada,2,"4312777137,4321139638"
"Senior Product Manager, Forma Data Management  ",Autodesk,2,"4332256874,4332246921"
Senior Project Manager,2iSolutions Inc.,2,"4330972978,4359454772"
Senior Project Manager  ,Insight Global,2,"4330183540,4331001236"
"Senior Quality Assurance Automation Engineer, IgniteTech (Remote) - $100,000/year USD  ",Crossover,2,"4329657414,4330447774"
Senior Salesforce Architect  ,Quantum World Technologies Inc.,2,"4354657060,4358224435"
Senior Tax Accountant,Logic Hire Solutions LTD,2,"4330071590,4330210765"
Servicenow Consultant  ,Cloudious LLC,2,"4358312732,4354658018"
Software Developer I – 4 Month Co-op/Internship (Summer 2026)  ,Intact,2,"4330417168,4330367139"
Specialized Finance Manager  ,TD,2,"4344849871,4358549780"
"Sr. Program Manager, Microsoft GTM  ",Softchoice,2,"4331990478,4331970545"
Staff Software Engineer - AI I  ,Thomson Reuters,2,"4331023504,4345303089"
Structured Finance - AI trainer,micro1,2,"4354621053,4359794289"
Summer Intern/Co-op 2026 – Full Stack Software Engineer  ,Manulife,2,"4331947141,4331947140"
Systems Software Engineering Intern - Winter 2026  ,NVIDIA,2,"4344969025,4344869577"
Talent Acquisition Specialist  ,iMerit Technology,2,"4331012628,4332254406"
